"class_word","category","keyword"
"aesthetic","all","красив"
"aesthetic","all","внешний вид"
"aesthetic","all","стильн"
"aesthetic","all","симпатичн"
"aesthetic","all","дизайн"
"aesthetic","all","эстет"
"aesthetic","all","изящн"
"price","all","цена"
"price","all","ценник"
"price","all","дорог"
"price","all","дешев"
"price","all","стоимость"
"price","all","деньг"
"price","all","цена-качество"
"price","all","цена/качество"
"construction","all","сборк"
"construction","all","материал"
"construction","all","пластик"
"construction","all","пластмасса"
"construction","all","желез"
"construction","all","металл"
"construction","all","покрытие"
"construction","all","хлипк"
"construction","all","поверхност"
"construction","all","габарит"
"construction","all","занимает мало"
"construction","all","занимает много"
"construction","all","компактн"
"construction","all","узк"
"construction","all","зазор"
"construction","all","легк"
"construction","all","тяжел"
"construction","all","собран"
"construction","all","размер"
"exploitation","all","надежн"
"exploitation","all","удобн"
"exploitation","all","инструкция"
"exploitation","all","управление"
"exploitation","all","быстр"
"exploitation","all","легко"
"exploitation","all","эсплуатац"
"exploitation","all","обслуживан"
"exploitation","all","мощн"
"exploitation","all","простота"
"exploitation","all","понятн"
"exploitation","all","шум"
"exploitation","all","тих"
"exploitation","all","запах"
"exploitation","all","интуитивн"
"exploitation","all","использован"
"exploitation","all","нужно"
"exploitation","all","расход"
"exploitation","Кофемашины","мыть"
"exploitation","all","чистить"
"exploitation","all","хранить"
"exploitation","all","проливат"
"exploitation","all","капает"
"exploitation","all","чистк"
"exploitation","all","уход"
"exploitation","all","сломал"
"exploitation","all","ремонт"
"exploitation","all","долговечн"
"exploitation","all","потребл"
"exploitation","all","комплект"
"exploitation","all","запасн"
"functionality","all","программ"
"functionality","all","функционал"
"functionality","all","функц"
"functionality","all","режим"
"general","all","советую"
"general","all","рекомендую"
"general","all","доволен"
"general","all","супер"
"functionality","Стиральные машины","одеял"
"functionality","Стиральные машины","отстирыв"
"functionality","Стиральные машины","стирает"
"functionality","Стиральные машины","стирк"
"functionality","Стиральные машины","отжим"
"functionality","Стиральные машины","глажка"
"functionality","Стиральные машины","полоска"
"functionality","Стиральные машины","сушк"
"exploitation","Стиральные машины","вибрир"
"functionality","Стиральные машины","вместитель"
"exploitation","Стиральные машины","прыгает"
"exploitation","Стиральные машины","скачет"
"exploitation","Стиральные машины","окончании стирки"
"exploitation","Стиральные машины","отсек для порошка"
"functionality","Стиральные машины","загрузка"
"exploitation","Стиральные машины","класс энергопотребл"
"functionality","Роботы-пылесосы","автоматическ"
"exploitation","Роботы-пылесосы","большой пылесборник"
"exploitation","Роботы-пылесосы","вместительный контейнер"
"exploitation","Роботы-пылесосы","вреза"
"functionality","Роботы-пылесосы","помощник"
"exploitation","Роботы-пылесосы","застрев"
"functionality","Роботы-пылесосы","пылесосит"
"functionality","Роботы-пылесосы","уборка"
"functionality","Роботы-пылесосы","убирает"
"functionality","Роботы-пылесосы","засасывает"
"functionality","Роботы-пылесосы","всасывае"
"functionality","Роботы-пылесосы","моющий"
"functionality","Роботы-пылесосы","собирает"
"functionality","Роботы-пылесосы","пыль"
"functionality","Роботы-пылесосы","влажн"
"functionality","Роботы-пылесосы","моет"
"functionality","Роботы-пылесосы","шерсть"
"exploitation","Роботы-пылесосы","заряжается"
"exploitation","Роботы-пылесосы","заряд"
"exploitation","Роботы-пылесосы","батарея"
"exploitation","Роботы-пылесосы","аккумулятор"
"functionality","Роботы-пылесосы","залезает"
"functionality","Роботы-пылесосы","график"
"functionality","Роботы-пылесосы","угл"
"functionality","Телевизоры","скайп"
"functionality","Телевизоры","плеер"
"functionality","Телевизоры","тюнер"
"functionality","Телевизоры","эфир"
"functionality","Телевизоры","full hd"
"exploitation","Телевизоры","долгое переключение"
"functionality","Телевизоры","цвет"
"functionality","Телевизоры","изображение"
"functionality","Телевизоры","картинка"
"functionality","Телевизоры","углы обзор"
"functionality","Телевизоры","прием"
"exploitation","Телевизоры","переключать"
"functionality","Телевизоры","флешка"
"functionality","Телевизоры","герц"
"functionality","Телевизоры","фильм"
"functionality","Телевизоры","гц"
"exploitation","Телевизоры","hdmi"
"functionality","Телевизоры","засвет"
"functionality","Телевизоры","звук"
"exploitation","Телевизоры","излучение"
"exploitation","Телевизоры","меню"
"functionality","Телевизоры","приём"
"functionality","Телевизоры","usb"
"functionality","Телевизоры","читает"
"functionality","Телевизоры","формат"
"functionality","Электронные книги","ink"
"functionality","Электронные книги","pdf"
"functionality","Электронные книги","djvu"
"functionality","Электронные книги","читает"
"functionality","Электронные книги","формат"
"functionality","Электронные книги","контраст"
"exploitation","Электронные книги","сенсорный"
"functionality","Электронные книги","epub"
"functionality","Электронные книги","pdf"
"functionality","Электронные книги","шрифт"
"functionality","Электронные книги","поддерживать"
"exploitation","Электронные книги","навигация"
"exploitation","Электронные книги","подсветка"
"exploitation","Электронные книги","держать"
"functionality","Кофемашины","получается"
"functionality","Кофемашины","кофе"
"functionality","Кофемашины","варит"
"functionality","Кофемашины","готовит"
"functionality","Кофемашины","взбивает"
"functionality","Кофемашины","вкус"
"functionality","Кофемашины","пенка"
"functionality","Кофемашины","вспенивает"
"functionality","Кофемашины","аромат"
"exploitation","Кофемашины","нагрев"
"functionality","Кофемашины","эспрессо"
"functionality","Кофемашины","латте"
"exploitation","Кофемашины","наливать"
"exploitation","Электронные книги","аккумулятор"
"exploitation","Электронные книги","заряд"
"exploitation","Роботы-пылесосы","станц"
"exploitation","Роботы-пылесосы","базу"
